atom_index_my_simulation_pos,atom_name_my_simulation_pos,rmsf_nm_my_simulation_pos
0,Ar,0.21710305849889572
1,Ar,0.19767518172820753
2,Ar,0.14899770712701166
3,Ar,0.48930480578227126
4,Ar,0.23572979334113325
5,Ar,0.2147949600778979
6,Ar,0.5032482217937687
7,Ar,0.17741356921233511
8,Ar,0.42568981416157986
9,Ar,0.2812185608794965
10,Ar,0.22768266539862347
11,Ar,0.2544334658768857
12,Ar,0.30348059147371015
13,Ar,0.43400856246060865
14,Ar,0.2900495389612944
15,Ar,0.28650052271065946
16,Ar,0.35254004274388046
17,Ar,0.31456078388725844
18,Ar,0.23444100164657322
19,Ar,0.254597363162611
20,Ar,0.2614695652148301
21,Ar,0.239056961979791
22,Ar,0.2854285933097065
23,Ar,0.21286667430912834
24,Ar,0.44946403408960445
25,Ar,0.4036876536932427
26,Ar,0.41138854276967324
27,Ar,0.5502188892528682
28,Ar,0.2504155575870853
29,Ar,0.25415698578467305
30,Ar,0.21354748532385506
31,Ar,0.33641015097343613
32,Ar,0.21185979946575115
33,Ar,0.20088015418367777
34,Ar,0.26669309629232296
35,Ar,0.23652827458508074
36,Ar,0.13293814450339034
37,Ar,0.637339572602036
38,Ar,0.29023062514756376
39,Ar,0.37107878192051247
40,Ar,0.2906792767730415
41,Ar,0.3062688751665675
42,Ar,0.35432580012672604
43,Ar,0.706590174437543
44,Ar,0.24603000997700328
45,Ar,0.3176597935508029
46,Ar,0.35649560202348224
47,Ar,0.31909109745119335
48,Ar,0.2592053657963541
49,Ar,0.4890950577653009
50,Ar,0.3849788971967179
51,Ar,0.3697875429994077
52,Ar,0.5909884001328548
53,Ar,0.4772674944358882
54,Ar,0.39054478058859826
55,Ar,0.2973339921956087
56,Ar,0.41806211242105457
57,Ar,0.2045734477973181
58,Ar,0.3247908131146621
59,Ar,0.16297261974071595
60,Ar,0.2756384135575703
61,Ar,0.22768029748820043
62,Ar,0.44488117827745544
63,Ar,1.245877470834156
64,Ar,0.33401820723574055
65,Ar,0.2855705663900323
66,Ar,0.5112983675506901
67,Ar,0.54185659193433
68,Ar,0.2266398147062657
69,Ar,0.4702752409503062
70,Ar,0.24920521366546272
71,Ar,0.2674220152607757
72,Ar,0.26126085848790187
73,Ar,0.36093020637354045
74,Ar,0.47520569048906297
75,Ar,0.19302798990802728
76,Ar,0.36407282335192126
77,Ar,0.2309248857109354
78,Ar,0.22223380047638117
79,Ar,0.38336821893066236
80,Ar,0.3354268103001894
81,Ar,0.7056269604197041
82,Ar,0.18185153458050785
83,Ar,0.23150690516264696
84,Ar,0.23633252041377187
85,Ar,0.20007206164685884
86,Ar,0.28785651370566484
87,Ar,0.2167295747382497
88,Ar,0.43665142988701877
89,Ar,0.23606446342625134
90,Ar,0.24637958052175987
91,Ar,0.2889462379971172
92,Ar,0.35668425825323263
93,Ar,0.4158909755708546
94,Ar,0.4053492185282908
95,Ar,0.2579759477409342
96,Ar,0.27377424644737913
97,Ar,0.20398485796021104
98,Ar,0.2742921040178355
