#E_pot  E_kin  T  P
-1.961097e-04 8.132342e+02 3.260320e+02 9.002714e+02
-1.840794e-04 8.389716e+02 3.363503e+02 9.287634e+02
-1.774170e-04 8.514191e+02 3.413406e+02 9.425431e+02
-1.778356e-04 8.299466e+02 3.327321e+02 9.187725e+02
-1.780817e-04 7.924278e+02 3.176905e+02 8.772382e+02
-1.702027e-04 8.459139e+02 3.391335e+02 9.364487e+02
-1.588123e-04 7.965800e+02 3.193552e+02 8.818348e+02
-1.478710e-04 7.648292e+02 3.066260e+02 8.466858e+02
-1.373665e-04 7.596272e+02 3.045405e+02 8.409270e+02
-1.259503e-04 7.233285e+02 2.899881e+02 8.007435e+02
-1.122345e-04 6.772742e+02 2.715245e+02 7.497601e+02
-9.783890e-05 6.788222e+02 2.721452e+02 7.514739e+02
-8.504783e-05 7.081244e+02 2.838926e+02 7.839122e+02
-7.619082e-05 7.171285e+02 2.875025e+02 7.938799e+02
-7.094027e-05 7.078501e+02 2.837827e+02 7.836085e+02
-6.709766e-05 7.417650e+02 2.973794e+02 8.211531e+02
-6.421330e-05 7.440552e+02 2.982976e+02 8.236884e+02
-6.155252e-05 7.252291e+02 2.907500e+02 8.028475e+02
-5.934100e-05 7.792280e+02 3.123986e+02 8.626257e+02
-5.747238e-05 8.027007e+02 3.218090e+02 8.886106e+02
-5.552273e-05 7.970219e+02 3.195323e+02 8.823240e+02
-5.477061e-05 7.735700e+02 3.101303e+02 8.563622e+02
-5.446135e-05 7.987260e+02 3.202155e+02 8.842104e+02
-5.407488e-05 7.720303e+02 3.095130e+02 8.546576e+02
-5.376464e-05 7.962508e+02 3.192232e+02 8.814704e+02
-5.290580e-05 8.114116e+02 3.253013e+02 8.982538e+02
-5.161858e-05 7.849235e+02 3.146820e+02 8.689307e+02
-5.057869e-05 7.592244e+02 3.043790e+02 8.404812e+02
-5.059433e-05 7.876919e+02 3.157919e+02 8.719954e+02
-5.145356e-05 7.580184e+02 3.038955e+02 8.391461e+02
-5.198092e-05 7.345057e+02 2.944691e+02 8.131170e+02
-5.203290e-05 7.426726e+02 2.977433e+02 8.221579e+02
-5.191375e-05 7.415151e+02 2.972792e+02 8.208765e+02
