r_nm,g_r,coordination_number,pair_count
7.499999999999999722e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.249999999999999806e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.249999999999999001e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.750000000000000333e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.124999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.275000000000000022e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.425000000000000155e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.574999999999999734e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.724999999999999867e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.875000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.025000000000000133e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.174999999999999711e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.324999999999999845e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.474999999999999978e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.625000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.774999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.924999999999999822e-01,6.270489741601562028e-03,2.336664104534972761e-04,7.600000000000000000e+01
3.074999999999999956e-01,1.190745954369127613e-01,5.137586471944659110e-03,1.595000000000000000e+03
3.225000000000000089e-01,5.173280146166090443e-01,2.857186779400461285e-02,7.622000000000000000e+03
3.374999999999999667e-01,1.034608754950663068e+00,7.989853958493467467e-02,1.669400000000000000e+04
3.524999999999999800e-01,1.418404079186774691e+00,1.566579554189085344e-01,2.496600000000000000e+04
3.674999999999999933e-01,1.575444284508204396e+00,2.493251345119139040e-01,3.014000000000000000e+04
3.825000000000000067e-01,1.615721662347108900e+00,3.522767102229054648e-01,3.348500000000000000e+04
3.974999999999999645e-01,1.584203489560178646e+00,4.612913143735588029e-01,3.545700000000000000e+04
4.124999999999999778e-01,1.521422826649743598e+00,5.740353574173712170e-01,3.667000000000000000e+04
4.274999999999999911e-01,1.454590130672029025e+00,6.898078401229822409e-01,3.765500000000000000e+04
4.425000000000000044e-01,1.405824202021671798e+00,8.096879323597232503e-01,3.899100000000000000e+04
4.574999999999999623e-01,1.328312982436433476e+00,9.307671022290545659e-01,3.938100000000000000e+04
4.724999999999999756e-01,1.287473952789125242e+00,1.055944657955418808e+00,4.071400000000000000e+04
4.874999999999999889e-01,1.258307313056167942e+00,1.186176787086856255e+00,4.235800000000000000e+04
5.024999999999999467e-01,1.214060195487775662e+00,1.319680245964642618e+00,4.342200000000000000e+04
5.175000000000000711e-01,1.194898615933017272e+00,1.459037663335895463e+00,4.532600000000000000e+04
5.324999999999999734e-01,1.178453679422276190e+00,1.604559569561875509e+00,4.733100000000000000e+04
5.474999999999999867e-01,1.152877569014426617e+00,1.755056110684089177e+00,4.894900000000000000e+04
5.625000000000000000e-01,1.128607191962321954e+00,1.910567255956956201e+00,5.058000000000000000e+04
5.774999999999999023e-01,1.103597660012266557e+00,2.070850115295926219e+00,5.213200000000000000e+04
5.925000000000000266e-01,1.103553969229528198e+00,2.239560338201383338e+00,5.487300000000000000e+04
6.074999999999999289e-01,1.084033506526687729e+00,2.413783243658723876e+00,5.666600000000000000e+04
6.225000000000000533e-01,1.084676211105635835e+00,2.596823981552651706e+00,5.953400000000000000e+04
6.374999999999999556e-01,1.078048106838771725e+00,2.787618754803996790e+00,6.205600000000000000e+04
6.524999999999999689e-01,1.078553840210463965e+00,2.987591083781706125e+00,6.504100000000000000e+04
6.674999999999999822e-01,1.080128438023427506e+00,3.197168332052267026e+00,6.816500000000000000e+04
6.824999999999998845e-01,1.078705388409499699e+00,3.415981552651806030e+00,7.116900000000000000e+04
6.975000000000000089e-01,1.078029743797329409e+00,3.644375096079938370e+00,7.428500000000000000e+04
7.124999999999999112e-01,1.084423232994032427e+00,3.884110684089161936e+00,7.797400000000000000e+04
7.275000000000000355e-01,1.100503814269749858e+00,4.137752498078400620e+00,8.249700000000000000e+04
7.424999999999999378e-01,1.092462829977570715e+00,4.400030745580322034e+00,8.530600000000000000e+04
7.575000000000000622e-01,1.094192760314518509e+00,4.673445042275171879e+00,8.892800000000000000e+04
7.724999999999999645e-01,1.087737074933845971e+00,4.956116833205225447e+00,9.193900000000000000e+04
7.874999999999999778e-01,1.084913700607015086e+00,5.249109915449652775e+00,9.529600000000000000e+04
8.024999999999999911e-01,1.087843168815266104e+00,5.554192159877016088e+00,9.922800000000000000e+04
8.174999999999998934e-01,1.077014425962189437e+00,5.867634127594156368e+00,1.019470000000000000e+05
8.325000000000000178e-01,1.081370560555390936e+00,6.193998462720982090e+00,1.061500000000000000e+05
8.474999999999999201e-01,1.081846496181273487e+00,6.532378170637969106e+00,1.100580000000000000e+05
8.625000000000000444e-01,1.078826196330641807e+00,6.881863182167561988e+00,1.136700000000000000e+05
8.774999999999999467e-01,1.086344740678924392e+00,7.246130668716370238e+00,1.184780000000000000e+05
8.924999999999999600e-01,1.095154671287400738e+00,7.626013835511143313e+00,1.235570000000000000e+05
9.074999999999999734e-01,1.084018559130523585e+00,8.014779400461181424e+00,1.264460000000000000e+05
9.224999999999998757e-01,1.081459245786805745e+00,8.415554189085316494e+00,1.303520000000000000e+05
9.375000000000000000e-01,1.078523475192303849e+00,8.828344350499612858e+00,1.342600000000000000e+05
9.524999999999999023e-01,1.072207551208181009e+00,9.251953881629512821e+00,1.377790000000000000e+05
9.675000000000000266e-01,1.072346525073628820e+00,9.689066871637198375e+00,1.421710000000000000e+05
9.824999999999999289e-01,1.075136945709886493e+00,1.014101152959261753e+01,1.469950000000000000e+05
9.974999999999999423e-01,1.074494268094779992e+00,1.060658262874711433e+01,1.514270000000000000e+05
1.012499999999999956e+00,1.062652914758265066e+00,1.108097463489623102e+01,1.542960000000000000e+05
1.027499999999999858e+00,1.054604423546730452e+00,1.156582628747117347e+01,1.576980000000000000e+05
1.042499999999999982e+00,1.051649539269821743e+00,1.206353881629515534e+01,1.618810000000000000e+05
1.057500000000000107e+00,1.054150428772390402e+00,1.257689469638739155e+01,1.669690000000000000e+05
1.072500000000000009e+00,1.044727095682495221e+00,1.310019677171406371e+01,1.702040000000000000e+05
1.087499999999999911e+00,1.048940874856143735e+00,1.364040891621829132e+01,1.757040000000000000e+05
1.102500000000000036e+00,1.049705534440509513e+00,1.419603074558031963e+01,1.807160000000000000e+05
1.117499999999999938e+00,1.049316458886195846e+00,1.476666256725595439e+01,1.855980000000000000e+05
1.132499999999999840e+00,1.042237881234602037e+00,1.534876249039200324e+01,1.893280000000000000e+05
1.147499999999999964e+00,1.051125582862308505e+00,1.595148039969254050e+01,1.960340000000000000e+05
1.162500000000000089e+00,1.049216059252580102e+00,1.656893466564180883e+01,2.008270000000000000e+05
1.177499999999999991e+00,1.052317239837750718e+00,1.720429823212912623e+01,2.066520000000000000e+05
1.192499999999999893e+00,1.041972914871944322e+00,1.784954650269023446e+01,2.098670000000000000e+05
1.207500000000000018e+00,1.043930146392576974e+00,1.851237202152190164e+01,2.155840000000000000e+05
1.222499999999999920e+00,1.035028160750171233e+00,1.918597386625672030e+01,2.190890000000000000e+05
1.237499999999999822e+00,1.039752288098896971e+00,1.987935741737124928e+01,2.255230000000000000e+05
1.252499999999999947e+00,1.043238970481196182e+00,2.059203382013835082e+01,2.317980000000000000e+05
1.267500000000000071e+00,1.048432562806738355e+00,2.132551575710991187e+01,2.385650000000000000e+05
1.282499999999999973e+00,1.043136186785833530e+00,2.207266717909300269e+01,2.430110000000000000e+05
1.297499999999999876e+00,1.030971251262286392e+00,2.282847963105303180e+01,2.458280000000000000e+05
1.312500000000000000e+00,1.028206052232670809e+00,2.359979400461183374e+01,2.508700000000000000e+05
1.327499999999999902e+00,1.034857279599712188e+00,2.439394312067640058e+01,2.582970000000000000e+05
1.342499999999999805e+00,1.034700047406527990e+00,2.520601691006917378e+01,2.641270000000000000e+05
1.357499999999999929e+00,1.033358345847463111e+00,2.603526210607224911e+01,2.697120000000000000e+05
1.372500000000000053e+00,1.032851024093707437e+00,2.688251806302843505e+01,2.755700000000000000e+05
1.387499999999999956e+00,1.024818412956842284e+00,2.774166026133742946e+01,2.794360000000000000e+05
1.402499999999999858e+00,1.021898562799777421e+00,2.861697770945426100e+01,2.846970000000000000e+05
1.417499999999999982e+00,1.024761366272764596e+00,2.951362336664104191e+01,2.916340000000000000e+05
1.432500000000000107e+00,1.032355769292637282e+00,3.043613220599538494e+01,3.000460000000000000e+05
1.447499999999999787e+00,1.028310330005144158e+00,3.137437048424288832e+01,3.051620000000000000e+05
1.462499999999999911e+00,1.014818301998060557e+00,3.231958800922367203e+01,3.074320000000000000e+05
1.477500000000000036e+00,1.010026468499188423e+00,3.327973866256725444e+01,3.122890000000000000e+05
1.492499999999999938e+00,1.007934459995500021e+00,3.425745426594927068e+01,3.180020000000000000e+05
1.507499999999999840e+00,1.008878727580089230e+00,3.525585549577248656e+01,3.247300000000000000e+05
1.522499999999999964e+00,1.013278888728799343e+00,3.627866564181399411e+01,3.326690000000000000e+05
1.537500000000000089e+00,1.016629167720682014e+00,3.732517755572636986e+01,3.403780000000000000e+05
1.552499999999999991e+00,1.011500302815446117e+00,3.838682551883167093e+01,3.453010000000000000e+05
1.567499999999999893e+00,1.017256953931274577e+00,3.947524673328209133e+01,3.540090000000000000e+05
1.582500000000000018e+00,1.017410162500791859e+00,4.058476556495003962e+01,3.608710000000000000e+05
1.597499999999999920e+00,1.019699466326438042e+00,4.171796156802459876e+01,3.685720000000000000e+05
1.612499999999999822e+00,1.017975236351414292e+00,4.287058570330515295e+01,3.748910000000000000e+05
1.627499999999999947e+00,1.018990534299039741e+00,4.404592467332820860e+01,3.822790000000000000e+05
1.642500000000000071e+00,1.016114231414087854e+00,4.523964950038431709e+01,3.882590000000000000e+05
1.657499999999999973e+00,1.014662671267214211e+00,4.645354035357416933e+01,3.948180000000000000e+05
1.672499999999999876e+00,1.009262917346699151e+00,4.768292390468869968e+01,3.998570000000000000e+05
1.687500000000000000e+00,1.012777603758884704e+00,4.893881629515757226e+01,4.084790000000000000e+05
1.702499999999999902e+00,1.009169865710098923e+00,5.021258109146810256e+01,4.142920000000000000e+05
1.717499999999999805e+00,1.009697849191345753e+00,5.150956802459646156e+01,4.218450000000000000e+05
1.732499999999999929e+00,1.007379457304112602e+00,5.282627824750191792e+01,4.282600000000000000e+05
1.747500000000000053e+00,1.010940448845681683e+00,5.417062259800153612e+01,4.372480000000000000e+05
1.762499999999999956e+00,1.008070788052959132e+00,5.553426287471175726e+01,4.435240000000000000e+05
1.777499999999999858e+00,1.010469874293028258e+00,5.692451345119138750e+01,4.521790000000000000e+05
1.792499999999999982e+00,1.007152051703877671e+00,5.833368485780168555e+01,4.583330000000000000e+05
1.807499999999999885e+00,1.006432629197470785e+00,5.976551575710990960e+01,4.657030000000000000e+05
1.822499999999999787e+00,1.005360143395528594e+00,6.121965872405841225e+01,4.729600000000000000e+05
1.837499999999999911e+00,1.003262036605776730e+00,6.269475172943889163e+01,4.797740000000000000e+05
1.852500000000000036e+00,1.005239241312174236e+00,6.419698078401229679e+01,4.886000000000000000e+05
1.867499999999999938e+00,1.001806668747295070e+00,6.571842275172943459e+01,4.948490000000000000e+05
1.882499999999999840e+00,1.005057634889308327e+00,6.726942044581090840e+01,5.044620000000000000e+05
1.897499999999999964e+00,1.007886867821063070e+00,6.884966948501151762e+01,5.139760000000000000e+05
1.912500000000000089e+00,1.002597440683632657e+00,7.044657647963103386e+01,5.193940000000000000e+05
1.927499999999999769e+00,1.002912401929461517e+00,7.206914066102996230e+01,5.277390000000000000e+05
1.942499999999999893e+00,1.000515905617363588e+00,7.371311913912373370e+01,5.347040000000000000e+05
1.957500000000000018e+00,1.005198263308213713e+00,7.539039815526516009e+01,5.455350000000000000e+05
1.972499999999999920e+00,1.004456638849233308e+00,7.709222444273633812e+01,5.535190000000000000e+05
1.987499999999999822e+00,1.000670044998829500e+00,7.881351883166793471e+01,5.598510000000000000e+05
2.002499999999999947e+00,1.004245289058496082e+00,8.056713604919291072e+01,5.703640000000000000e+05
2.017500000000000071e+00,1.001645533462916404e+00,8.234251498847038420e+01,5.774420000000000000e+05
2.032499999999999751e+00,9.991017210176914576e-01,8.413981552651803497e+01,5.845720000000000000e+05
2.047499999999999876e+00,1.000234880930904735e+00,8.596581091468098634e+01,5.939050000000000000e+05
2.062500000000000000e+00,9.962054170504852646e-01,8.781119446579550925e+01,6.002110000000000000e+05
2.077499999999999680e+00,9.902163872597308236e-01,8.967226133743271532e+01,6.053120000000000000e+05
2.092500000000000249e+00,9.885547211630062447e-01,9.155713143735584936e+01,6.130540000000000000e+05
