r_nm,g_r,coordination_number,pair_count
7.499999999999999722e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.249999999999999806e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.249999999999999001e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.750000000000000333e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.124999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.275000000000000022e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.425000000000000155e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.574999999999999734e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.724999999999999867e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.875000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.025000000000000133e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.174999999999999711e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.324999999999999845e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.474999999999999978e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.625000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.774999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.924999999999999822e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.074999999999999956e-01,1.403512472861416852e-02,5.780169100691775596e-04,1.880000000000000000e+02
3.225000000000000089e-01,4.587536146409945115e-01,2.135895465026902210e-02,6.759000000000000000e+03
3.374999999999999667e-01,2.364527843993808887e+00,1.386625672559569367e-01,3.815300000000000000e+04
3.524999999999999800e-01,4.971061448397196436e+00,4.076802459646425292e-01,8.749800000000000000e+04
3.674999999999999933e-01,6.442072176507270598e+00,7.866010760953112690e-01,1.232440000000000000e+05
3.825000000000000067e-01,6.520596164340417999e+00,1.202084550345887681e+00,1.351360000000000000e+05
3.974999999999999645e-01,5.925002367771240230e+00,1.609804765564949891e+00,1.326110000000000000e+05
4.124999999999999778e-01,5.227603853619154251e+00,1.997192928516525523e+00,1.259980000000000000e+05
4.274999999999999911e-01,4.559582830533588371e+00,2.360095311299000631e+00,1.180340000000000000e+05
4.425000000000000044e-01,3.946158017564769249e+00,2.696599538816295105e+00,1.094480000000000000e+05
4.574999999999999623e-01,3.505469938260929119e+00,3.016132205995388116e+00,1.039280000000000000e+05
4.724999999999999756e-01,3.146680701825914195e+00,3.322075326671790840e+00,9.950800000000000000e+04
4.874999999999999889e-01,2.898907388086929160e+00,3.622106072252113673e+00,9.758500000000000000e+04
5.024999999999999467e-01,2.717082486695835186e+00,3.920888547271329738e+00,9.717900000000000000e+04
5.175000000000000711e-01,2.539825207493153769e+00,4.217100691775557131e+00,9.634300000000000000e+04
5.324999999999999734e-01,2.447910046264814010e+00,4.519382013835510747e+00,9.831700000000000000e+04
5.474999999999999867e-01,2.383078414481372143e+00,4.830468870099922540e+00,1.011810000000000000e+05
5.625000000000000000e-01,2.289546369317158714e+00,5.145946195234434306e+00,1.026090000000000000e+05
5.774999999999999023e-01,2.271507636665315299e+00,5.475852421214449706e+00,1.073020000000000000e+05
5.925000000000000266e-01,2.296401026560291658e+00,5.826923904688699807e+00,1.141860000000000000e+05
6.074999999999999289e-01,2.302705558546878084e+00,6.197008455034587193e+00,1.203700000000000000e+05
6.225000000000000533e-01,2.346536487669703686e+00,6.592990007686393206e+00,1.287930000000000000e+05
6.374999999999999556e-01,2.407905987247028978e+00,7.019145272867023166e+00,1.386070000000000000e+05
6.524999999999999689e-01,2.464285173633803172e+00,7.476043043812449440e+00,1.486060000000000000e+05
6.674999999999999822e-01,2.485729451664858480e+00,7.958348962336661891e+00,1.568700000000000000e+05
6.824999999999998845e-01,2.557599881206809034e+00,8.477152959262104659e+00,1.687410000000000000e+05
6.975000000000000089e-01,2.610780952118391784e+00,9.030278247501920319e+00,1.799040000000000000e+05
7.124999999999999112e-01,2.640686143647137385e+00,9.614059953881628928e+00,1.898750000000000000e+05
7.275000000000000355e-01,2.619667842935681890e+00,1.021783551114527278e+01,1.963780000000000000e+05
7.424999999999999378e-01,2.574099375053591654e+00,1.083582475019215963e+01,2.010010000000000000e+05
7.575000000000000622e-01,2.528069079620613113e+00,1.146753266717909270e+01,2.054630000000000000e+05
7.724999999999999645e-01,2.488524357100200035e+00,1.211422905457340526e+01,2.103380000000000000e+05
7.874999999999999778e-01,2.415167082292786649e+00,1.276647194465795643e+01,2.121420000000000000e+05
8.024999999999999911e-01,2.369085794850975368e+00,1.343087471176018610e+01,2.160970000000000000e+05
8.174999999999998934e-01,2.298793569659671743e+00,1.409988931591083983e+01,2.175970000000000000e+05
8.325000000000000178e-01,2.265417841599126625e+00,1.478360645657186900e+01,2.223790000000000000e+05
8.474999999999999201e-01,2.208182600039557464e+00,1.547428132205995510e+01,2.246420000000000000e+05
8.625000000000000444e-01,2.137408385651753839e+00,1.616669331283627997e+01,2.252070000000000000e+05
8.774999999999999467e-01,2.104406683844082693e+00,1.687233205226748822e+01,2.295090000000000000e+05
8.924999999999999600e-01,2.053677591578133566e+00,1.758470407378939626e+01,2.316990000000000000e+05
9.074999999999999734e-01,2.020230434158984956e+00,1.830922674865488275e+01,2.356510000000000000e+05
9.224999999999998757e-01,2.004987211633160626e+00,1.905224903920061763e+01,2.416680000000000000e+05
9.375000000000000000e-01,1.988552760810955000e+00,1.981334050730207963e+01,2.475450000000000000e+05
9.524999999999999023e-01,1.977100327661312829e+00,2.059445657186779854e+01,2.540580000000000000e+05
9.675000000000000266e-01,1.941637287709720106e+00,2.138591237509608334e+01,2.574210000000000000e+05
9.824999999999999289e-01,1.931647962345898417e+00,2.219790007686395583e+01,2.640990000000000000e+05
9.974999999999999423e-01,1.936157395922402547e+00,2.303682398155265787e+01,2.728600000000000000e+05
1.012499999999999956e+00,1.930386954150425938e+00,2.389859185242121953e+01,2.802900000000000000e+05
1.027499999999999858e+00,1.908122591011413904e+00,2.477584627209839141e+01,2.853270000000000000e+05
1.042499999999999982e+00,1.868667303286166259e+00,2.566022751729439477e+01,2.876450000000000000e+05
1.057500000000000107e+00,1.853155403730128992e+00,2.656268716372021998e+01,2.935250000000000000e+05
1.072500000000000009e+00,1.833618691916996113e+00,2.748114373558801304e+01,2.987280000000000000e+05
1.087499999999999911e+00,1.811904112730580385e+00,2.841428747117602072e+01,3.035050000000000000e+05
1.102500000000000036e+00,1.794175361310497818e+00,2.936396617986164870e+01,3.088830000000000000e+05
1.117499999999999938e+00,1.756832489759030391e+00,3.031935434281322372e+01,3.107400000000000000e+05
1.132499999999999840e+00,1.727057002883094272e+00,3.128393235972329478e+01,3.137290000000000000e+05
1.147499999999999964e+00,1.688050827900833495e+00,3.225186471944658706e+01,3.148200000000000000e+05
1.162500000000000089e+00,1.664116114074848607e+00,3.323118216756341781e+01,3.185230000000000000e+05
1.177499999999999991e+00,1.646905098616834096e+00,3.422554342813221240e+01,3.234160000000000000e+05
1.192499999999999893e+00,1.614820446618288940e+00,3.522553112990008373e+01,3.252460000000000000e+05
1.207500000000000018e+00,1.589303071413034951e+00,3.623463182167564156e+01,3.282100000000000000e+05
1.222499999999999920e+00,1.553442208100426214e+00,3.724562029208301794e+01,3.288240000000000000e+05
1.237499999999999822e+00,1.532549220430920345e+00,3.826763720215219422e+01,3.324110000000000000e+05
1.252499999999999947e+00,1.522642467908639441e+00,3.930781245196003226e+01,3.383170000000000000e+05
1.267500000000000071e+00,1.499698259143939172e+00,4.035699923136048994e+01,3.412480000000000000e+05
1.282499999999999973e+00,1.476378682788514141e+00,4.141446272098385606e+01,3.439400000000000000e+05
1.297499999999999876e+00,1.469327370563944246e+00,4.249163720215219087e+01,3.503510000000000000e+05
1.312500000000000000e+00,1.449845537318316779e+00,4.357924673328209053e+01,3.537450000000000000e+05
1.327499999999999902e+00,1.429185351664205683e+00,4.467600307455803232e+01,3.567200000000000000e+05
1.342499999999999805e+00,1.410425044270943395e+00,4.578296079938508711e+01,3.600380000000000000e+05
1.357499999999999929e+00,1.391148021972238080e+00,4.689932359723289323e+01,3.630970000000000000e+05
1.372500000000000053e+00,1.374246199114934175e+00,4.802662874711759855e+01,3.666560000000000000e+05
1.387499999999999956e+00,1.359176440880454084e+00,4.916607532667178759e+01,3.706050000000000000e+05
1.402499999999999858e+00,1.345065274442514669e+00,5.031820445810914322e+01,3.747300000000000000e+05
1.417499999999999982e+00,1.318860998253025940e+00,5.147218139892390099e+01,3.753310000000000000e+05
1.432500000000000107e+00,1.292139235843337230e+00,5.262683166794772660e+01,3.755500000000000000e+05
1.447499999999999787e+00,1.280675359840920846e+00,5.379532974634895481e+01,3.800540000000000000e+05
1.462499999999999911e+00,1.269318406950532774e+00,5.497759262106071532e+01,3.845310000000000000e+05
1.477500000000000036e+00,1.246208924052067957e+00,5.616226287471175027e+01,3.853140000000000000e+05
1.492499999999999938e+00,1.226550265900084424e+00,5.735203996925441317e+01,3.869750000000000000e+05
1.507499999999999840e+00,1.221500393208144963e+00,5.856085472713296980e+01,3.931670000000000000e+05
1.522499999999999964e+00,1.200069145263954695e+00,5.977221214450422337e+01,3.939940000000000000e+05
1.537500000000000089e+00,1.182994976530915565e+00,6.098998001537278668e+01,3.960790000000000000e+05
1.552499999999999991e+00,1.174470603645257016e+00,6.222267794004611829e+01,4.009350000000000000e+05
1.567499999999999893e+00,1.150721121458913698e+00,6.345390007686395251e+01,4.004550000000000000e+05
1.582500000000000018e+00,1.131609463753198153e+00,6.468795695618754849e+01,4.013770000000000000e+05
1.597499999999999920e+00,1.113075731175595218e+00,6.592492236740969247e+01,4.023230000000000000e+05
1.612499999999999822e+00,1.105967446177650526e+00,6.717717755572637373e+01,4.072960000000000000e+05
1.627499999999999947e+00,1.090283806569716907e+00,6.843474865488087744e+01,4.090250000000000000e+05
1.642500000000000071e+00,1.077495791618966470e+00,6.970058416602614670e+01,4.117130000000000000e+05
1.657499999999999973e+00,1.060299850211343431e+00,7.096907302075328516e+01,4.125760000000000000e+05
1.672499999999999876e+00,1.045031366571597342e+00,7.224202613374329474e+01,4.140280000000000000e+05
1.687500000000000000e+00,1.038900427290091022e+00,7.353031206764029548e+01,4.190150000000000000e+05
1.702499999999999902e+00,1.027417119975289506e+00,7.482710837817066363e+01,4.217830000000000000e+05
1.717499999999999805e+00,1.010248360647719501e+00,7.612480245964644610e+01,4.220750000000000000e+05
1.732499999999999929e+00,1.001324736519774161e+00,7.743359877017680049e+01,4.256860000000000000e+05
1.747500000000000053e+00,9.917388506047214447e-01,7.875240891621830031e+01,4.289430000000000000e+05
1.762499999999999956e+00,9.803304538924935141e-01,8.007852421214451510e+01,4.313190000000000000e+05
1.777499999999999858e+00,9.666368643915119740e-01,8.140846733282091918e+01,4.325640000000000000e+05
1.792499999999999982e+00,9.551346247066198059e-01,8.274485780169101190e+01,4.346610000000000000e+05
1.807499999999999885e+00,9.502136690105210670e-01,8.409670714834743421e+01,4.396890000000000000e+05
1.822499999999999787e+00,9.453118968402589584e-01,8.546399692544197535e+01,4.447110000000000000e+05
1.837499999999999911e+00,9.336885890660792109e-01,8.683679631053037440e+01,4.465030000000000000e+05
1.852500000000000036e+00,9.288073178272228114e-01,8.822480553420447791e+01,4.514500000000000000e+05
1.867499999999999938e+00,9.216032636767349517e-01,8.962444273635667003e+01,4.552320000000000000e+05
1.882499999999999840e+00,9.147669748285929270e-01,9.103610453497311994e+01,4.591430000000000000e+05
1.897499999999999964e+00,8.992300213030055556e-01,9.244599231360494684e+01,4.585660000000000000e+05
1.912500000000000089e+00,8.890597866750574729e-01,9.386205995388165491e+01,4.605760000000000000e+05
1.927499999999999769e+00,8.908024170183128643e-01,9.530324673328212270e+01,4.687460000000000000e+05
1.942499999999999893e+00,8.792966480213671998e-01,9.674804611837051027e+01,4.699210000000000000e+05
1.957500000000000018e+00,8.735819381446482401e-01,9.820570945426597120e+01,4.741050000000000000e+05
1.972499999999999920e+00,8.714283185492602835e-01,9.968214911606459339e+01,4.802120000000000000e+05
1.987499999999999822e+00,8.608052743880716395e-01,1.011628562644120137e+02,4.816000000000000000e+05
2.002499999999999947e+00,8.573246490808728026e-01,1.026599200614911780e+02,4.869200000000000000e+05
2.017500000000000071e+00,8.510921951434887722e-01,1.041684488854727277e+02,4.906490000000000000e+05
2.032499999999999751e+00,8.400086004081996904e-01,1.056795541890853372e+02,4.914870000000000000e+05
2.047499999999999876e+00,8.339941780795603332e-01,1.072020661029977191e+02,4.951970000000000000e+05
2.062500000000000000e+00,8.275407399941329123e-01,1.087350130668716588e+02,4.985910000000000000e+05
2.077499999999999680e+00,8.244300001561377655e-01,1.102844919292851813e+02,5.039680000000000000e+05
2.092500000000000249e+00,8.224341063815793218e-01,1.118526210607225408e+02,5.100340000000000000e+05
