r_nm,g_r,coordination_number,pair_count
7.499999999999999722e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.249999999999999917e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.249999999999999806e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.249999999999999001e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.750000000000000333e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.124999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.275000000000000022e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.425000000000000155e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.574999999999999734e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.724999999999999867e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.875000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.025000000000000133e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.174999999999999711e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.324999999999999845e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.474999999999999978e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.625000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.774999999999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.924999999999999822e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.074999999999999956e-01,8.212041064614673206e-04,3.382013835511145714e-05,1.100000000000000000e+01
3.225000000000000089e-01,1.662209797685745838e-01,7.563412759415833429e-03,2.449000000000000000e+03
3.374999999999999667e-01,1.701210633964040930e+00,9.196003074558031787e-02,2.745000000000000000e+04
3.524999999999999800e-01,4.976288283904894527e+00,3.612605687932359810e-01,8.759000000000000000e+04
3.674999999999999933e-01,7.450325156065291665e+00,7.994865488086086991e-01,1.425330000000000000e+05
3.825000000000000067e-01,7.775102585106806075e+00,1.294905457340507215e+00,1.611350000000000000e+05
3.974999999999999645e-01,6.851031121603325502e+00,1.766348962336663941e+00,1.533370000000000000e+05
4.124999999999999778e-01,5.788542948691543621e+00,2.195305149884704043e+00,1.395180000000000000e+05
4.274999999999999911e-01,4.634871534946808147e+00,2.564199846272098515e+00,1.199830000000000000e+05
4.425000000000000044e-01,3.815458298852026253e+00,2.889558800922367610e+00,1.058230000000000000e+05
4.574999999999999623e-01,3.257555958907744298e+00,3.186493466564181531e+00,9.657800000000000000e+04
4.724999999999999756e-01,2.811230397478833520e+00,3.459821675634127569e+00,8.890000000000000000e+04
4.874999999999999889e-01,2.504108195714378926e+00,3.718991544965411400e+00,8.429500000000000000e+04
5.024999999999999467e-01,2.261537307637239813e+00,3.967680245964642527e+00,8.088600000000000000e+04
5.175000000000000711e-01,2.062693538036954877e+00,4.208245964642582493e+00,7.824400000000000000e+04
5.324999999999999734e-01,1.915388711505699781e+00,4.444768639508070329e+00,7.692900000000000000e+04
5.474999999999999867e-01,1.843487715874239985e+00,4.685417371252881935e+00,7.827100000000000000e+04
5.625000000000000000e-01,1.769980958782507274e+00,4.929303612605687057e+00,7.932400000000000000e+04
5.774999999999999023e-01,1.785164265202071832e+00,5.188574942352035535e+00,8.432800000000000000e+04
5.925000000000000266e-01,1.762452492981956942e+00,5.458016910069176220e+00,8.763600000000000000e+04
6.074999999999999289e-01,1.781865967810005946e+00,5.744393543428130577e+00,9.314400000000000000e+04
6.225000000000000533e-01,1.856160228357240483e+00,6.057623366641044171e+00,1.018780000000000000e+05
6.374999999999999556e-01,1.912694576045113948e+00,6.396135280553418845e+00,1.101010000000000000e+05
6.524999999999999689e-01,1.970801313748143491e+00,6.761537279016139657e+00,1.188470000000000000e+05
6.674999999999999822e-01,2.014935114070579125e+00,7.152495003843196031e+00,1.271590000000000000e+05
6.824999999999998845e-01,2.039429032753752757e+00,7.566189085318983487e+00,1.345540000000000000e+05
6.975000000000000089e-01,2.042908812325253454e+00,7.999003843197538544e+00,1.407730000000000000e+05
7.124999999999999112e-01,2.045987630475338825e+00,8.451314373558799886e+00,1.471140000000000000e+05
7.275000000000000355e-01,2.019037708052043634e+00,8.916657955418907378e+00,1.513530000000000000e+05
7.424999999999999378e-01,1.974951911797775850e+00,9.390803996925441766e+00,1.542160000000000000e+05
7.575000000000000622e-01,1.899063276048751803e+00,9.865337432744043511e+00,1.543420000000000000e+05
7.724999999999999645e-01,1.816365573143265744e+00,1.033735895465026999e+01,1.535250000000000000e+05
7.874999999999999778e-01,1.713176823592220455e+00,1.080002152190622766e+01,1.504810000000000000e+05
8.024999999999999911e-01,1.607481560788043939e+00,1.125083474250576643e+01,1.466270000000000000e+05
8.174999999999998934e-01,1.528993475722754791e+00,1.169581552651806433e+01,1.447300000000000000e+05
8.325000000000000178e-01,1.458429143295256303e+00,1.213597847809377583e+01,1.431630000000000000e+05
8.474999999999999201e-01,1.392615154313993964e+00,1.257156033820138497e+01,1.416730000000000000e+05
8.625000000000000444e-01,1.349628939885688883e+00,1.300877171406610522e+01,1.422030000000000000e+05
8.774999999999999467e-01,1.290863043155699774e+00,1.344161721752498373e+01,1.407830000000000000e+05
8.924999999999999600e-01,1.260672758741943289e+00,1.387891468101460646e+01,1.422310000000000000e+05
9.074999999999999734e-01,1.230685037386893832e+00,1.432027978478093999e+01,1.435540000000000000e+05
9.224999999999998757e-01,1.204935356280277370e+00,1.476681322059954127e+01,1.452350000000000000e+05
9.375000000000000000e-01,1.187677184271054065e+00,1.522138047655649729e+01,1.478480000000000000e+05
9.524999999999999023e-01,1.173133379756935879e+00,1.568486395080707396e+01,1.507480000000000000e+05
9.675000000000000266e-01,1.169578865387224109e+00,1.616161106840892003e+01,1.550620000000000000e+05
9.824999999999999289e-01,1.147246712353335418e+00,1.664386779400461691e+01,1.568540000000000000e+05
9.974999999999999423e-01,1.137724857243297638e+00,1.713683627978478441e+01,1.603380000000000000e+05
1.012499999999999956e+00,1.130525344859775849e+00,1.764152805534204660e+01,1.641510000000000000e+05
1.027499999999999858e+00,1.109401749109146573e+00,1.815157263643351371e+01,1.658920000000000000e+05
1.042499999999999982e+00,1.094220683695882546e+00,1.866943274404304631e+01,1.684340000000000000e+05
1.057500000000000107e+00,1.071209370603167343e+00,1.919109607993851085e+01,1.696710000000000000e+05
1.072500000000000009e+00,1.055978210617432245e+00,1.972003382013835804e+01,1.720370000000000000e+05
1.087499999999999911e+00,1.039078547730623914e+00,2.025516679477325255e+01,1.740520000000000000e+05
1.102500000000000036e+00,1.016625602289296104e+00,2.079327901614142959e+01,1.750210000000000000e+05
1.117499999999999938e+00,9.908006055393272504e-01,2.133208916218293538e+01,1.752480000000000000e+05
1.132499999999999840e+00,9.754190092113113053e-01,2.187687009992313492e+01,1.771900000000000000e+05
1.147499999999999964e+00,9.582886854788036368e-01,2.242635511145272886e+01,1.787200000000000000e+05
1.162500000000000089e+00,9.418373817549415827e-01,2.298061798616448925e+01,1.802740000000000000e+05
1.177499999999999991e+00,9.259181799338899177e-01,2.353966487317448042e+01,1.818300000000000000e+05
1.192499999999999893e+00,9.272236784101834939e-01,2.411385395849346480e+01,1.867550000000000000e+05
1.207500000000000018e+00,9.116956371632812806e-01,2.469271944657955231e+01,1.882760000000000000e+05
1.222499999999999920e+00,8.955167447725853602e-01,2.527552651806302819e+01,1.895580000000000000e+05
1.237499999999999822e+00,8.893608883845174340e-01,2.586861798616448738e+01,1.929030000000000000e+05
1.252499999999999947e+00,8.819675961412418719e-01,2.647112375096079973e+01,1.959650000000000000e+05
1.267500000000000071e+00,8.711573014796442083e-01,2.708058416602613505e+01,1.982270000000000000e+05
1.282499999999999973e+00,8.683780053190487402e-01,2.770256418139892673e+01,2.022990000000000000e+05
1.297499999999999876e+00,8.624362971349036622e-01,2.833482244427363739e+01,2.056420000000000000e+05
1.312500000000000000e+00,8.484103688135979926e-01,2.897126210607225261e+01,2.070020000000000000e+05
1.327499999999999902e+00,8.452874934948020336e-01,2.961993543428132369e+01,2.109810000000000000e+05
1.342499999999999805e+00,8.562687709400078617e-01,3.029196925441967991e+01,2.185790000000000000e+05
1.357499999999999929e+00,8.530095142948002085e-01,3.097648885472713687e+01,2.226400000000000000e+05
1.372500000000000053e+00,8.328099279731959736e-01,3.165964950038432235e+01,2.221980000000000000e+05
1.387499999999999956e+00,8.278285068060569074e-01,3.235364796310530267e+01,2.257230000000000000e+05
1.402499999999999858e+00,8.343223849869070285e-01,3.306829515757110016e+01,2.324390000000000000e+05
1.417499999999999982e+00,8.285016825924229611e-01,3.379321752498078268e+01,2.357810000000000000e+05
1.432500000000000107e+00,8.268934164564750722e-01,3.453212605687932069e+01,2.403300000000000000e+05
1.447499999999999787e+00,8.223362279820730647e-01,3.528243197540353293e+01,2.440370000000000000e+05
1.462499999999999911e+00,8.183027214051146192e-01,3.604461183704842142e+01,2.478990000000000000e+05
1.477500000000000036e+00,8.249939689143852561e-01,3.682886702536509915e+01,2.550790000000000000e+05
1.492499999999999938e+00,8.184439732804134060e-01,3.762277325134511585e+01,2.582180000000000000e+05
1.507499999999999840e+00,8.149725654624649929e-01,3.842928209069945922e+01,2.623170000000000000e+05
1.522499999999999964e+00,8.212618555085345884e-01,3.925826902382782180e+01,2.696280000000000000e+05
1.537500000000000089e+00,8.229045896118407644e-01,4.010536202920830107e+01,2.755170000000000000e+05
1.552499999999999991e+00,8.241199017445089980e-01,4.097033973866256673e+01,2.813340000000000000e+05
1.567499999999999893e+00,8.249686686441234373e-01,4.185302075326671911e+01,2.870920000000000000e+05
1.582500000000000018e+00,8.236553415046342641e-01,4.275124365872405718e+01,2.921470000000000000e+05
1.597499999999999920e+00,8.309909347541535318e-01,4.367472713297463116e+01,3.003630000000000000e+05
1.612499999999999822e+00,8.335242309795091176e-01,4.461850269023827309e+01,3.069630000000000000e+05
1.627499999999999947e+00,8.437214648451468735e-01,4.559168024596463908e+01,3.165260000000000000e+05
1.642500000000000071e+00,8.341129590798214144e-01,4.657159108378170487e+01,3.187160000000000000e+05
1.657499999999999973e+00,8.355525491063775512e-01,4.757120368946963396e+01,3.251240000000000000e+05
1.672499999999999876e+00,8.447775224812039685e-01,4.860022751729438539e+01,3.346900000000000000e+05
1.687500000000000000e+00,8.547588193896393793e-01,4.966016910069177470e+01,3.447460000000000000e+05
1.702499999999999902e+00,8.518844287986907515e-01,5.073540968485779956e+01,3.497220000000000000e+05
1.717499999999999805e+00,8.607868937703014867e-01,5.184111606456571764e+01,3.596310000000000000e+05
1.732499999999999929e+00,8.579191216723796032e-01,5.296247194465795616e+01,3.647210000000000000e+05
1.747500000000000053e+00,8.655354502455625543e-01,5.411345734050730272e+01,3.743580000000000000e+05
1.762499999999999956e+00,8.633119283495542806e-01,5.528127901614143269e+01,3.798340000000000000e+05
1.777499999999999858e+00,8.726914279265746144e-01,5.648196771714066244e+01,3.905240000000000000e+05
1.792499999999999982e+00,8.724301679688792888e-01,5.770264104534972915e+01,3.970240000000000000e+05
1.807499999999999885e+00,8.710113674847458354e-01,5.894181091468101386e+01,4.030400000000000000e+05
1.822499999999999787e+00,8.798134147308915853e-01,6.021436433512682385e+01,4.138980000000000000e+05
1.837499999999999911e+00,8.861784833252861482e-01,6.151730976172174792e+01,4.237830000000000000e+05
1.852500000000000036e+00,8.849582307414954885e-01,6.283979093005380179e+01,4.301370000000000000e+05
1.867499999999999938e+00,8.940340390950936023e-01,6.419755880092236566e+01,4.416140000000000000e+05
1.882499999999999840e+00,8.968917392306154923e-01,6.558163566487317553e+01,4.501710000000000000e+05
1.897499999999999964e+00,9.095368320826284769e-01,6.700768332052267340e+01,4.638220000000000000e+05
1.912500000000000089e+00,9.062261363826004112e-01,6.845109300538047137e+01,4.694690000000000000e+05
1.927499999999999769e+00,9.146713745299502873e-01,6.993089623366640240e+01,4.813060000000000000e+05
1.942499999999999893e+00,9.171819930740220395e-01,7.143794619523443146e+01,4.901680000000000000e+05
1.957500000000000018e+00,9.119483825315412018e-01,7.295962797847809611e+01,4.949270000000000000e+05
1.972499999999999920e+00,9.137301884186134204e-01,7.450773866256726308e+01,5.035230000000000000e+05
1.987499999999999822e+00,9.201536513207574375e-01,7.609053343581861384e+01,5.148040000000000000e+05
2.002499999999999947e+00,9.198175098584695508e-01,7.769672252113760180e+01,5.224130000000000000e+05
2.017500000000000071e+00,9.208345421123791397e-01,7.932886702536511336e+01,5.308550000000000000e+05
2.032499999999999751e+00,9.309917145783204173e-01,8.100364335126826631e+01,5.447210000000000000e+05
2.047499999999999876e+00,9.420166147704590598e-01,8.272335741737126114e+01,5.593370000000000000e+05
2.062500000000000000e+00,9.398649086596382318e-01,8.446437509607994798e+01,5.662660000000000000e+05
2.077499999999999680e+00,9.400898235398431613e-01,8.623123136049193249e+01,5.746700000000000000e+05
2.092500000000000249e+00,9.430755344099935877e-01,8.802938662567255790e+01,5.848500000000000000e+05
