#E_pot  E_kin  T  P
-2.392703e+02 1.159120e+02 4.647004e+01 1.026541e+06
-2.392705e+02 1.159559e+02 4.648764e+01 1.026930e+06
-2.392689e+02 1.160629e+02 4.653053e+01 1.027877e+06
-2.392655e+02 1.159045e+02 4.646701e+01 1.026474e+06
-2.392605e+02 1.159842e+02 4.649896e+01 1.027180e+06
-2.392537e+02 1.159451e+02 4.648331e+01 1.026834e+06
-2.392452e+02 1.159341e+02 4.647888e+01 1.026736e+06
-2.392349e+02 1.164929e+02 4.670293e+01 1.031686e+06
-2.392228e+02 1.163306e+02 4.663785e+01 1.030248e+06
-2.392090e+02 1.167748e+02 4.681592e+01 1.034182e+06
-2.391934e+02 1.166851e+02 4.677995e+01 1.033387e+06
-2.391759e+02 1.165780e+02 4.673702e+01 1.032439e+06
-2.391566e+02 1.166195e+02 4.675366e+01 1.032806e+06
-2.391355e+02 1.161695e+02 4.657327e+01 1.028821e+06
-2.391126e+02 1.157590e+02 4.640871e+01 1.025186e+06
-2.390878e+02 1.157145e+02 4.639087e+01 1.024792e+06
-2.390613e+02 1.152378e+02 4.619974e+01 1.020570e+06
-2.390329e+02 1.152077e+02 4.618768e+01 1.020304e+06
-2.390027e+02 1.148081e+02 4.602746e+01 1.016764e+06
-2.389705e+02 1.144112e+02 4.586834e+01 1.013249e+06
-2.389363e+02 1.140559e+02 4.572591e+01 1.010103e+06
-2.389003e+02 1.137082e+02 4.558652e+01 1.007024e+06
-2.388626e+02 1.140708e+02 4.573187e+01 1.010235e+06
-2.388230e+02 1.140316e+02 4.571617e+01 1.009888e+06
-2.387817e+02 1.136736e+02 4.557263e+01 1.006717e+06
-2.387390e+02 1.138994e+02 4.566317e+01 1.008717e+06
-2.386947e+02 1.133636e+02 4.544835e+01 1.003972e+06
-2.386490e+02 1.127283e+02 4.519365e+01 9.983450e+05
-2.386020e+02 1.129264e+02 4.527309e+01 1.000100e+06
-2.385532e+02 1.124757e+02 4.509239e+01 9.961081e+05
-2.385025e+02 1.128827e+02 4.525557e+01 9.997129e+05
-2.384501e+02 1.131663e+02 4.536926e+01 1.002224e+06
-2.383958e+02 1.131688e+02 4.537027e+01 1.002247e+06
-2.383397e+02 1.133835e+02 4.545633e+01 1.004148e+06
-2.382817e+02 1.130906e+02 4.533891e+01 1.001554e+06
-2.382220e+02 1.129257e+02 4.527280e+01 1.000094e+06
-2.381609e+02 1.127224e+02 4.519128e+01 9.982927e+05
-2.380980e+02 1.131937e+02 4.538023e+01 1.002467e+06
-2.380333e+02 1.127792e+02 4.521405e+01 9.987957e+05
-2.379669e+02 1.130529e+02 4.532381e+01 1.001220e+06
-2.378984e+02 1.140431e+02 4.572076e+01 1.009989e+06
-2.378281e+02 1.140476e+02 4.572256e+01 1.010029e+06
-2.377562e+02 1.131665e+02 4.536936e+01 1.002227e+06
-2.376829e+02 1.125297e+02 4.511406e+01 9.965868e+05
-2.376081e+02 1.128103e+02 4.522655e+01 9.990718e+05
-2.375317e+02 1.123439e+02 4.503955e+01 9.949410e+05
-2.374537e+02 1.118501e+02 4.484160e+01 9.905681e+05
-2.373742e+02 1.115833e+02 4.473461e+01 9.882046e+05
-2.372931e+02 1.115530e+02 4.472249e+01 9.879370e+05
-2.372105e+02 1.114438e+02 4.467871e+01 9.869698e+05
-2.371265e+02 1.114725e+02 4.469021e+01 9.872239e+05
-2.370412e+02 1.117689e+02 4.480902e+01 9.898484e+05
-2.369549e+02 1.112904e+02 4.461718e+01 9.856107e+05
-2.368676e+02 1.114825e+02 4.469420e+01 9.873121e+05
-2.367791e+02 1.110294e+02 4.451256e+01 9.832995e+05
-2.366893e+02 1.115784e+02 4.473267e+01 9.881619e+05
-2.365986e+02 1.113512e+02 4.464158e+01 9.861496e+05
-2.365067e+02 1.115131e+02 4.470647e+01 9.875831e+05
-2.364132e+02 1.109737e+02 4.449024e+01 9.828064e+05
-2.363181e+02 1.113936e+02 4.465855e+01 9.865245e+05
-2.362214e+02 1.111292e+02 4.455257e+01 9.841835e+05
-2.361230e+02 1.114422e+02 4.467805e+01 9.869553e+05
-2.360232e+02 1.112581e+02 4.460423e+01 9.853246e+05
-2.359221e+02 1.112609e+02 4.460536e+01 9.853495e+05
-2.358197e+02 1.111757e+02 4.457120e+01 9.845949e+05
-2.357160e+02 1.111689e+02 4.456849e+01 9.845350e+05
-2.356109e+02 1.115831e+02 4.473455e+01 9.882033e+05
-2.355042e+02 1.112002e+02 4.458105e+01 9.848124e+05
-2.353960e+02 1.110486e+02 4.452025e+01 9.834694e+05
-2.352868e+02 1.103136e+02 4.422558e+01 9.769600e+05
-2.351769e+02 1.100640e+02 4.412551e+01 9.747494e+05
-2.350662e+02 1.100209e+02 4.410823e+01 9.743677e+05
-2.349543e+02 1.095565e+02 4.392204e+01 9.702548e+05
-2.348412e+02 1.090919e+02 4.373581e+01 9.661409e+05
-2.347266e+02 1.091357e+02 4.375338e+01 9.665289e+05
-2.346105e+02 1.097012e+02 4.398009e+01 9.715370e+05
-2.344932e+02 1.095380e+02 4.391463e+01 9.700910e+05
-2.343753e+02 1.095368e+02 4.391418e+01 9.700811e+05
-2.342566e+02 1.094298e+02 4.387126e+01 9.691329e+05
-2.341368e+02 1.096668e+02 4.396626e+01 9.712317e+05
-2.340156e+02 1.097137e+02 4.398508e+01 9.716473e+05
-2.338934e+02 1.099691e+02 4.408747e+01 9.739090e+05
-2.337693e+02 1.102541e+02 4.420175e+01 9.764336e+05
-2.336442e+02 1.094434e+02 4.387673e+01 9.692539e+05
