Zeitpunkt: 1784220662.621238; Simulationschritt: 0
Zeitpunkt: 1784220706.812567; Simulationschritt: 100
Zeitpunkt: 1784220750.934678; Simulationschritt: 200
Zeitpunkt: 1784220795.118731; Simulationschritt: 300
Zeitpunkt: 1784220838.681706; Simulationschritt: 400
Zeitpunkt: 1784220882.5236712; Simulationschritt: 500
Zeitpunkt: 1784220925.918646; Simulationschritt: 600
Zeitpunkt: 1784220969.447959; Simulationschritt: 700
Zeitpunkt: 1784221018.147244; Simulationschritt: 800
Zeitpunkt: 1784221063.5635011; Simulationschritt: 900
Zeitpunkt: 1784221108.1369479; Simulationschritt: 1000
Zeitpunkt: 1784221151.78704; Simulationschritt: 1100
Zeitpunkt: 1784221195.117555; Simulationschritt: 1200
Zeitpunkt: 1784221239.795489; Simulationschritt: 1300
Zeitpunkt: 1784221284.2815921; Simulationschritt: 1400
Zeitpunkt: 1784221328.431488; Simulationschritt: 1500
Zeitpunkt: 1784221373.41771; Simulationschritt: 1600
Zeitpunkt: 1784221417.106085; Simulationschritt: 1700
Zeitpunkt: 1784221460.6449049; Simulationschritt: 1800
Zeitpunkt: 1784221505.434915; Simulationschritt: 1900
Zeitpunkt: 1784221549.7780879; Simulationschritt: 2000
Zeitpunkt: 1784221594.2932239; Simulationschritt: 2100
Zeitpunkt: 1784221637.520277; Simulationschritt: 2200
Zeitpunkt: 1784221680.678794; Simulationschritt: 2300
Zeitpunkt: 1784221723.833279; Simulationschritt: 2400
Zeitpunkt: 1784221766.972437; Simulationschritt: 2500
Zeitpunkt: 1784221810.1269681; Simulationschritt: 2600
Zeitpunkt: 1784221853.401668; Simulationschritt: 2700
Zeitpunkt: 1784221896.651236; Simulationschritt: 2800
Zeitpunkt: 1784221939.9533591; Simulationschritt: 2900
Zeitpunkt: 1784221983.070389; Simulationschritt: 3000
Zeitpunkt: 1784222026.205863; Simulationschritt: 3100
Zeitpunkt: 1784222069.6377878; Simulationschritt: 3200
Zeitpunkt: 1784222112.7856379; Simulationschritt: 3300
Zeitpunkt: 1784222155.985097; Simulationschritt: 3400
Zeitpunkt: 1784222199.63428; Simulationschritt: 3500
Zeitpunkt: 1784222243.3624802; Simulationschritt: 3600
Zeitpunkt: 1784222287.143679; Simulationschritt: 3700
Zeitpunkt: 1784222332.1854138; Simulationschritt: 3800
Zeitpunkt: 1784222376.857156; Simulationschritt: 3900
Zeitpunkt: 1784222421.2939048; Simulationschritt: 4000
Zeitpunkt: 1784222465.838093; Simulationschritt: 4100
Zeitpunkt: 1784222510.274333; Simulationschritt: 4200
Zeitpunkt: 1784222554.8277938; Simulationschritt: 4300
Zeitpunkt: 1784222598.858219; Simulationschritt: 4400
Zeitpunkt: 1784222642.3916008; Simulationschritt: 4500
Zeitpunkt: 1784222685.6321018; Simulationschritt: 4600
Zeitpunkt: 1784222728.790093; Simulationschritt: 4700
Zeitpunkt: 1784222771.91766; Simulationschritt: 4800
Zeitpunkt: 1784222815.4337249; Simulationschritt: 4900
Zeitpunkt: 1784222858.584977; Simulationschritt: 5000
Zeitpunkt: 1784222901.82746; Simulationschritt: 5100
Zeitpunkt: 1784222945.44447; Simulationschritt: 5200
Zeitpunkt: 1784222988.882163; Simulationschritt: 5300
Zeitpunkt: 1784223032.076877; Simulationschritt: 5400
Zeitpunkt: 1784223075.3093271; Simulationschritt: 5500
Zeitpunkt: 1784223118.730537; Simulationschritt: 5600
Zeitpunkt: 1784223161.908224; Simulationschritt: 5700
Zeitpunkt: 1784223205.1536891; Simulationschritt: 5800
Zeitpunkt: 1784223248.959916; Simulationschritt: 5900
Zeitpunkt: 1784223292.5695949; Simulationschritt: 6000
Zeitpunkt: 1784223335.761827; Simulationschritt: 6100
Zeitpunkt: 1784223380.909028; Simulationschritt: 6200
Zeitpunkt: 1784223424.430662; Simulationschritt: 6300
Zeitpunkt: 1784223467.9948952; Simulationschritt: 6400
Zeitpunkt: 1784223511.162451; Simulationschritt: 6500
Zeitpunkt: 1784223554.324768; Simulationschritt: 6600
Zeitpunkt: 1784223597.459121; Simulationschritt: 6700
Zeitpunkt: 1784223640.569543; Simulationschritt: 6800
Zeitpunkt: 1784223683.725234; Simulationschritt: 6900
Zeitpunkt: 1784223726.865747; Simulationschritt: 7000
Zeitpunkt: 1784223770.118974; Simulationschritt: 7100
Zeitpunkt: 1784223813.4266932; Simulationschritt: 7200
Zeitpunkt: 1784223856.8870919; Simulationschritt: 7300
Zeitpunkt: 1784223900.2593; Simulationschritt: 7400
Zeitpunkt: 1784223943.723797; Simulationschritt: 7500
Zeitpunkt: 1784223987.122623; Simulationschritt: 7600
Zeitpunkt: 1784224031.287366; Simulationschritt: 7700
Zeitpunkt: 1784224076.205034; Simulationschritt: 7800
Zeitpunkt: 1784224120.0147688; Simulationschritt: 7900
Zeitpunkt: 1784224163.406237; Simulationschritt: 8000
Zeitpunkt: 1784224206.8575969; Simulationschritt: 8100
Zeitpunkt: 1784224250.574343; Simulationschritt: 8200
Zeitpunkt: 1784224298.292329; Simulationschritt: 8300
Zeitpunkt: 1784224341.970968; Simulationschritt: 8400
Zeitpunkt: 1784224385.477298; Simulationschritt: 8500
Zeitpunkt: 1784224429.054591; Simulationschritt: 8600
Zeitpunkt: 1784224472.907006; Simulationschritt: 8700
Zeitpunkt: 1784224516.633088; Simulationschritt: 8800
Zeitpunkt: 1784224560.1987572; Simulationschritt: 8900
Zeitpunkt: 1784224603.678565; Simulationschritt: 9000
Zeitpunkt: 1784224647.22722; Simulationschritt: 9100
Zeitpunkt: 1784224690.866088; Simulationschritt: 9200
Zeitpunkt: 1784224734.4418602; Simulationschritt: 9300
Zeitpunkt: 1784224778.069567; Simulationschritt: 9400
Zeitpunkt: 1784224821.742178; Simulationschritt: 9500
Zeitpunkt: 1784224865.271167; Simulationschritt: 9600
Zeitpunkt: 1784224908.720891; Simulationschritt: 9700
Zeitpunkt: 1784224952.011582; Simulationschritt: 9800
Zeitpunkt: 1784224995.942249; Simulationschritt: 9900
Zeitpunkt: 1784225039.213867; Simulationschritt: 10000
Zeitpunkt: 1784225082.470725; Simulationschritt: 10100
Zeitpunkt: 1784225125.943281; Simulationschritt: 10200
